ID,Region,Team,Player,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,Clutches,KMax,K,D,A,FK,FD,FK+FD,Opening Duel Win %,FK/FD
115,North America,Evil Geniuses,Reformed,257,180,0.82,66.0%,116.0,0.63,0.2,0.08,0.08,0.23,0.13,4,21,161,196,51,21,21,42,50.0%,1.0
116,North America,Cloud9,vanity,581,178,0.92,74.0%,109.1,0.61,0.37,0.09,0.07,0.15,0.13,12,20,355,386,215,55,42,97,56.7%,1.3
117,North America,Cloud9,xeta,581,178,1.02,77.0%,121.1,0.64,0.27,0.06,0.05,0.2,0.24,16,24,369,361,159,32,28,60,53.3%,1.1
118,North America,100 Thieves,Hiko,280,177,0.9,70.0%,119.5,0.59,0.33,0.05,0.04,0.28,0.08,4,19,165,184,93,14,11,25,56.0%,1.3
119,EMEA,BIG,gob b,281,175,0.89,66.0%,117.5,0.62,0.28,0.04,0.06,0.24,0.25,13,21,173,194,79,12,18,30,40.0%,0.7
120,North America,100 Thieves,BabyJ,100,177,0.91,63.0%,119.7,0.64,0.16,0.09,0.12,0.29,,0,22,64,70,16,9,12,21,42.9%,0.8
121,EMEA,BIG,Kaspe,281,147,0.69,62.0%,96.4,0.49,0.28,0.06,0.09,0.22,0.03,1,18,137,199,79,18,24,42,42.9%,0.8
122,EMEA,BBL Esports,pAura,224,158,0.66,61.0%,101.8,0.51,0.17,0.1,0.15,0.29,0.08,2,22,114,172,39,23,33,56,41.1%,0.7
123,EMEA,Acend,BONECOLD,268,164,0.83,67.0%,110.3,0.56,0.23,0.07,0.12,0.32,0.11,4,20,149,179,62,18,33,51,35.3%,0.5
124,EMEA,Acend,Kiles,268,145,0.67,60.0%,98.2,0.49,0.26,0.04,0.07,0.27,0.07,2,15,130,194,69,12,20,32,37.5%,0.6
125,North America,100 Thieves,ec1s,100,153,0.66,69.0%,101.8,0.5,0.35,0.05,0.1,0.25,,0,15,50,76,35,5,10,15,33.3%,0.5
